"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","dataset"
"1","GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,0,"yes","no","no","no","yes","yes","no","no",4,3,4,1,1,3,6,5,6,6,"d1"
"2","GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,4,5,5,6,"d1"
"3","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,3,"yes","no","yes","no","yes","yes","yes","no",4,3,2,2,3,3,10,7,8,10,"d1"
"4","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,2,15,14,15,"d1"
"5","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,2,1,2,5,4,6,10,10,"d1"
"6","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,10,15,15,15,"d1"
"7","GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,12,12,11,"d1"
"8","GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,0,"yes","yes","no","no","yes","yes","no","no",4,1,4,1,1,1,6,6,5,6,"d1"
"9","GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,2,2,1,1,1,0,16,18,19,"d1"
"10","GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,5,1,1,1,5,0,14,15,15,"d1"
"11","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",3,3,3,1,2,2,0,10,8,9,"d1"
"12","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,4,10,12,12,"d1"
"13","GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,3,5,2,14,14,14,"d1"
"14","GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",5,4,3,1,2,3,2,10,10,11,"d1"
"15","GP","M",15,"U","GT3","A",2,2,"other","other","home","other",1,3,0,"no","yes","no","no","yes","yes","yes","yes",4,5,2,1,1,3,0,14,16,16,"d1"
"16","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,4,4,1,2,2,4,14,14,14,"d1"
"17","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","no",3,2,3,1,2,2,6,13,14,14,"d1"
"18","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"yes","yes","no","yes","yes","yes","no","no",5,3,2,1,1,4,4,8,10,10,"d1"
"19","GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",1,1,3,"no","yes","no","yes","yes","yes","yes","no",5,5,5,2,4,5,16,6,5,5,"d1"
"20","GP","M",16,"U","LE3","T",4,3,"health","other","home","father",1,1,0,"no","no","yes","yes","yes","yes","yes","no",3,1,3,1,3,5,4,8,10,10,"d1"
"21","GP","M",15,"U","GT3","T",4,3,"teacher","other","reputation","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,1,1,1,1,0,13,14,15,"d1"
"22","GP","M",15,"U","GT3","T",4,4,"health","health","other","father",1,1,0,"no","yes","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,12,15,15,"d1"
"23","GP","M",16,"U","LE3","T",4,2,"teacher","other","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",4,5,1,1,3,5,2,15,15,16,"d1"
"24","GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,2,4,5,0,13,13,12,"d1"
"25","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"yes","yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,10,9,8,"d1"
